Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Luisburgo,Luisburgo,,15.61,0,15.94,3,0.000248
Lamim,Lamim,,56.96,28.59,411.28,2,0.000764
Senador Firmino,Senador Firmino,,103.9,256.67,154.56,2,0.001284
São Gonçalo do Rio Preto,São Gonçalo do Rio Preto,,0,0,759.25,0,0.00128
Campos Altos,Campos Altos,,19.76,773.38,273.51,6,0.002328
Santa Rosa da Serra,Santa Rosa da Serra,,118.76,0,119.65,6,0.000511
Turmalina,Turmalina,,2734.66,35.42,717.28,0,0.001825
Fruta de Leite,Fruta de Leite,,0,17.52,1507.08,5,0.000265
Monjolos,Monjolos,,680.27,214.87,1562.5,0,0.000309
Nanuque,Nanuque,,358.6,16.75,61.22,1,0.001856
Umburatiba,Umburatiba,,73.34,0,76.16,1,0.000369
Alfredo Vasconcelos,Alfredo Vasconcelos,,0,14.76,29.28,2,0.000655
Barbacena,Barbacena,,14.82,15.36,22,2,0.005934
Barão de Cocais,Barão de Cocais,,15.99,6.26,962.28,1,0.001576
Santa Bárbara,Santa Bárbara,,23.2,22.81,55.18,1,0.001055
Viçosa,Viçosa,,11.64,19.14,532.66,2,0.003392
Machacalis,Machacalis,,96.97,0,182.84,1,0.00133
Dionísio,Dionísio,,0,0,674.99,1,0.00079
Marliéria,Marliéria,,121.15,2276.58,148.37,1,0.000488
São José do Goiabal,São José do Goiabal,,0,17.75,1558.49,1,0.00076
São João da Ponte,São João da Ponte,,84.92,193.38,1640.58,5,0.000488
Oliveira,Oliveira,,28.87,9.54,310.63,6,0.002322
São Francisco de Paula,São Francisco de Paula,,0,0,153.02,6,0.00039
Paula Cândido,Paula Cândido,,0,0,10.46,2,0.000262
Itamarati de Minas,Itamarati de Minas,,0,0,0,2,0.000263
Grão Mogol,Grão Mogol,,0,0,1064.71,5,0.00057
Patis,Patis,,0,16.73,1666.11,5,0.000416
Espinosa,Espinosa,,3.11,37.25,1258.54,5,0.001589
Felisburgo,Felisburgo,,54.51,13.46,40.49,1,0.000529
Jordânia,Jordânia,,36.95,0,9.28,0,0.000312
São João da Lagoa,São João da Lagoa,,81.6,141.64,1981.21,0,0.000568
Borda da Mata,Borda da Mata,,5.35,5.25,36.45,4,0.001307
Tocos do Moji,Tocos do Moji,,24.25,0,0,4,0.000305
Jequeri,Jequeri,,15.45,0,152.49,3,0.000342
Carlos Chagas,Carlos Chagas,,175.25,35.44,57.87,1,0.00147
Novo Oriente de Minas,Novo Oriente de Minas,,18.51,9.2,18.64,1,0.001434
Pavão,Pavão,,0,0,0,1,0.001493
Capela Nova,Capela Nova,,0,0,42.8,2,0.000671
Imbé de Minas,Imbé de Minas,,102.59,86.97,101.97,1,0.000303
Ubaporanga,Ubaporanga,,7.96,39.61,24.1,1,0.002036
Rubim,Rubim,,29.04,0,19.56,1,0.000923
Careaçu,Careaçu,,0,0,282.7,4,0.001598
Boa Esperança,Boa Esperança,,29.79,9.87,884.31,4,0.001999
Piumhi,Piumhi,,0,0,0,4,0.001813
São Roque de Minas,São Roque de Minas,,28.43,84.6,28.47,4,0.000465
Conselheiro Lafaiete,Conselheiro Lafaiete,,17.54,29.05,330.88,2,0.00432
Ouro Branco,Ouro Branco,,2.61,12.84,276.07,2,0.001901
"Água Boa",Água Boa,,13.62,13.92,772.06,0,0.001538
Bom Jesus da Penha,Bom Jesus da Penha,,48.19,47.59,167.06,4,0.000442
Araxá,Araxá,,25.43,79.59,766.06,6,0.004087
Caxambu,Caxambu,,31.49,22.51,115.19,4,0.002383
Ouro Fino,Ouro Fino,,0,8.9,26.88,4,0.001231
Santa Rita do Sapucaí,Santa Rita do Sapucaí,,4.83,2.36,91.23,4,0.002338
Comercinho,Comercinho,,38.29,0,0,1,0.000435
Cachoeira de Minas,Cachoeira de Minas,,8.65,0,43.43,4,0.000631
Conceição dos Ouros,Conceição dos Ouros,,17.76,0,8.68,4,0.000631
Descoberto,Descoberto,,19.96,59.44,600.48,2,0.000794
São João Nepomuceno,São João Nepomuceno,,129.1,56.52,6626.83,2,0.001313
Inconfidentes,Inconfidentes,,68.59,13.59,150.75,4,0.001231
Matias Cardoso,Matias Cardoso,,18.48,36.37,1583.71,5,0.000669
Extrema,Extrema,,9.07,2.91,11.28,4,0.001445
Munhoz,Munhoz,,0,0,0,4,0.000624
Bom Sucesso,Bom Sucesso,,5.6,106.1,28.41,6,0.001351
São Tiago,São Tiago,,55.26,27.09,247.21,6,0.001002
Chalé,Chalé,,34.38,0,17.52,3,0.000256
Matias Barbosa,Matias Barbosa,,7,0,111.23,2,0.000614
Simão Pereira,Simão Pereira,,0,0,0,2,0.000426
Barão de Monte Alto,Barão de Monte Alto,,17.53,17.71,183.72,2,0.000251
Santo Antônio do Rio Abaixo,Santo Antônio do Rio Abaixo,,0,55.16,0,0,0.000637
Coronel Pacheco,Coronel Pacheco,,0,0,876.62,2,0.001183
Camanducaia,Camanducaia,,4.55,0,4.6,4,0.000931
Estiva,Estiva,,0,0,0,4,0.001102
Maria da Fé,Maria da Fé,,0,20.71,14.15,4,0.000551
