Id,Label,timeset,modularity_class,pageranks
Grăo Mogol,Grăo Mogol,,0,0.00057
Patis,Patis,,0,0.000416
Espinosa,Espinosa,,0,0.001589
Felisburgo,Felisburgo,,3,0.000529
Jordânia,Jordânia,,0,0.000312
Săo Joăo da Lagoa,Săo Joăo da Lagoa,,0,0.000568
Borda da Mata,Borda da Mata,,1,0.001307
Tocos do Moji,Tocos do Moji,,1,0.000305
Jequeri,Jequeri,,3,0.000342
Carlos Chagas,Carlos Chagas,,3,0.00147
Novo Oriente de Minas,Novo Oriente de Minas,,3,0.001434
Pavăo,Pavăo,,3,0.001493
Capela Nova,Capela Nova,,5,0.000671
Imbé de Minas,Imbé de Minas,,3,0.000303
Ubaporanga,Ubaporanga,,3,0.002036
Rubim,Rubim,,3,0.000923
Careaçu,Careaçu,,1,0.001598
Boa Esperança,Boa Esperança,,2,0.001999
Piumhi,Piumhi,,2,0.001813
Săo Roque de Minas,Săo Roque de Minas,,2,0.000465
Conselheiro Lafaiete,Conselheiro Lafaiete,,5,0.00432
Ouro Branco,Ouro Branco,,3,0.001901
"Água Boa",Água Boa,,4,0.001538
Bom Jesus da Penha,Bom Jesus da Penha,,2,0.000442
Araxá,Araxá,,6,0.004087
Caxambu,Caxambu,,1,0.002383
Ouro Fino,Ouro Fino,,1,0.001231
Santa Rita do Sapucaí,Santa Rita do Sapucaí,,1,0.002338
Comercinho,Comercinho,,0,0.000435
Cachoeira de Minas,Cachoeira de Minas,,1,0.000631
Conceiçăo dos Ouros,Conceiçăo dos Ouros,,1,0.000631
Descoberto,Descoberto,,5,0.000794
Săo Joăo Nepomuceno,Săo Joăo Nepomuceno,,5,0.001313
Inconfidentes,Inconfidentes,,1,0.001231
Matias Cardoso,Matias Cardoso,,0,0.000669
Extrema,Extrema,,1,0.001445
Munhoz,Munhoz,,1,0.000624
Bom Sucesso,Bom Sucesso,,6,0.001351
Săo Tiago,Săo Tiago,,6,0.001002
Chalé,Chalé,,3,0.000256
Matias Barbosa,Matias Barbosa,,5,0.000614
Simăo Pereira,Simăo Pereira,,5,0.000426
Barăo de Monte Alto,Barăo de Monte Alto,,5,0.000251
Santo Antônio do Rio Abaixo,Santo Antônio do Rio Abaixo,,4,0.000637
Coronel Pacheco,Coronel Pacheco,,5,0.001183
Camanducaia,Camanducaia,,1,0.000931
Estiva,Estiva,,1,0.001102
Maria da Fé,Maria da Fé,,1,0.000551
Brasilândia de Minas,Brasilândia de Minas,,0,0.001189
Riachinho,Riachinho,,0,0.001046
Lagoa da Prata,Lagoa da Prata,,6,0.001766
Santa Rita de Caldas,Santa Rita de Caldas,,2,0.001009
Fronteira dos Vales,Fronteira dos Vales,,3,0.000687
Braúnas,Braúnas,,4,0.000936
Varginha,Varginha,,2,0.00439
Jequitaí,Jequitaí,,6,0.000957
Alpinópolis,Alpinópolis,,2,0.001591
Tręs Coraçőes,Tręs Coraçőes,,1,0.003568
Jequitibá,Jequitibá,,0,0.000513
Santana de Cataguases,Santana de Cataguases,,5,0.000263
Itaguara,Itaguara,,6,0.002352
Piracema,Piracema,,6,0.000615
Săo Sebastiăo do Paraíso,Săo Sebastiăo do Paraíso,,2,0.0026
Săo Tomás de Aquino,Săo Tomás de Aquino,,2,0.000255
Săo Pedro do Suaçuí,Săo Pedro do Suaçuí,,4,0.002184
Candeias,Candeias,,6,0.001136
Pouso Alto,Pouso Alto,,1,0.00124
Carneirinho,Carneirinho,,6,0.00031
Iturama,Iturama,,6,0.001954
