freq,casos,p_rt1,p_inc100k,nivel
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,82,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,2,0,164,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,2,0,164,1
0,1,0,82,1
0,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,1,0,23,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,0,0,0,1
103,1,0,23,1
103,0,0,0,1
103,2,0,47,1
103,7,0,165,1
103,2,0,47,1
103,0,0,0,1
103,6,0,141,1
103,4,0,94,1
103,16,0,424,1
103,18,0,495,4
103,12,0,330,4
103,25,0,778,4
103,9,0,283,4
103,25,0,1085,4
333,4,0,35,1
333,3,0,26,1
333,5,0,44,1
333,4,0,35,1
333,1,0,8,1
333,2,0,17,1
333,3,0,26,1
333,4,0,35,1
333,7,0,62,1
333,0,0,0,1
333,2,0,17,1
333,5,0,44,1
333,1,0,8,1
333,3,0,26,1
333,1,0,8,1
333,2,0,17,1
333,3,0,26,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,0,0,0,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,2,0,17,1
333,0,0,0,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,0,0,0,1
333,1,0,8,1
333,0,0,0,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,4,0,35,1
333,0,0,0,1
333,0,0,0,1
333,0,0,0,1
333,1,0,8,1
333,1,0,8,1
333,0,0,0,1
333,2,0,17,1
333,1,0,8,1
333,0,0,0,1
333,0,0,0,1
333,2,0,17,1
333,5,0,44,1
333,2,0,17,1
333,4,0,35,1
333,3,0,26,1
333,5,0,44,1
333,3,0,26,1
333,8,0,79,1
333,3,0,26,1
333,20,0,230,1
333,8,0,97,4
333,18,0,283,4
229,2,0,26,1
229,1,0,13,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,1,0,13,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,1,0,13,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,2,0,26,1
229,0,0,0,1
229,0,0,0,1
229,0,0,0,1
229,1,0,13,1
229,1,0,13,1
229,1,0,13,1
229,0,0,0,1
229,4,0,53,1
229,8,0,107,1
229,1,0,13,1
229,8,0,107,1
229,19,0,282,1
229,10,0,147,4
229,12,0,201,4
229,11,0,201,4
229,10,0,228,4
605,9,0,59,2
605,8,0,52,2
605,4,0,26,2
605,1,0,6,1
605,0,0,0,1
605,3,0,19,1
605,2,0,13,1
605,3,0,19,1
605,0,0,0,1
605,0,0,0,1
605,1,0,6,1
605,0,0,0,1
605,0,0,0,1
605,1,0,6,1
605,0,0,0,1
605,1,0,6,1
605,1,0,6,1
605,5,0,32,1
605,0,0,0,1
605,1,0,6,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,2,0,13,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,0,0,0,1
605,2,0,13,1
605,1,0,6,1
605,1,0,6,1
605,3,0,19,1
605,2,0,13,1
605,4,0,26,1
605,2,0,13,1
605,0,0,0,1
605,1,0,6,1
605,2,0,13,1
605,27,0,177,1
605,57,1,382,4
605,72,0,494,4
605,87,0,599,4
605,97,0,672,4
605,75,0,520,4
605,101,0,718,4
605,59,0,415,4
605,96,0,698,4
605,117,0,863,4
605,103,0,777,4
605,124,0,968,4
605,139,0,1133,4
605,73,0,619,4
605,63,0,566,4
605,32,0,316,4
605,21,0,243,4
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
880,0,0,0,1
