Id,d1 (18-17),d1 (18-17) ABS,negpos1,d2 (19-18),d2 (19-18) ABS,negpos2,d1 (18-17)p,d2 (19-18)p
Itacarambi,43.32,43.32,1,1621.54,1621.54,1,43.32,1621.54
Itaguara,-60.83,60.83,0,2470.28,2470.28,1,0,2470.28
Itaipé,-0.09,0.09,0,0.03,0.03,1,0,0.03
Itajubá,4.06,4.06,1,32.23,32.23,1,4.06,32.23
Itamarandiba,-32.18,32.18,0,156.42,156.42,1,0,156.42
Itamarati de Minas,0,0,0,0,0,0,0,0
Itambacuri,-2005.77,2005.77,0,1049.04,1049.04,1,0,1049.04
Itambé do Mato Dentro,0,0,0,0,0,0,0,0
Itamogi,0,0,0,68.43,68.43,1,0,68.43
Itamonte,-26.43,26.43,0,19.43,19.43,1,0,19.43
Itanhandu,-13.32,13.32,0,13.15,13.15,1,0,13.15
Itanhomi,-56.79,56.79,0,-16.14,16.14,0,0,0
Itaobim,-23.19,23.19,0,4.74,4.74,1,0,4.74
Itapagipe,-671.37,671.37,0,827.3,827.3,1,0,827.3
Itapecerica,53.96,53.96,1,269.05,269.05,1,53.96,269.05
Itapeva,-0.2,0.2,0,-0.07,0.07,0,0,0
Itatiaiuçu,18.04,18.04,1,5173.37,5173.37,1,18.04,5173.37
Itaú de Minas,30.22,30.22,1,949.62,949.62,1,30.22,949.62
Itaúna,1.92,1.92,1,529.41,529.41,1,1.92,529.41
Itaverava,17.57,17.57,1,73.84,73.84,1,17.57,73.84
Itinga,-391.79,391.79,0,40.12,40.12,1,0,40.12
Itueta,-0.09,0.09,0,2484.07,2484.07,1,0,2484.07
Ituiutaba,430,430,1,933.97,933.97,1,430,933.97
Itumirim,-16.03,16.03,0,16.53,16.53,1,0,16.53
Iturama,55.49,55.49,1,668.52,668.52,1,55.49,668.52
Itutinga,25.47,25.47,1,53.29,53.29,1,25.47,53.29
Jaboticatubas,-48.17,48.17,0,2809.39,2809.39,1,0,2809.39
Jacinto,174.62,174.62,1,-356.6,356.6,0,174.62,0
Jacuí,0,0,0,26.04,26.04,1,0,26.04
Jacutinga,-4.01,4.01,0,35.04,35.04,1,0,35.04
Jaguaraçu,60.88,60.88,1,-347.63,347.63,0,60.88,0
Jaíba,15.62,15.62,1,56.98,56.98,1,15.62,56.98
Jampruca,-224.02,224.02,0,-18.47,18.47,0,0,0
Janaúba,1842.07,1842.07,1,-894.95,894.95,0,1842.07,0
Januária,8.65,8.65,1,1381.5,1381.5,1,8.65,1381.5
