Id,norm-2017,norm-2018,norm-2019,,,,,
Guimarânia,0.02193030339,0.009250275079,0.2616143637,,,,,
Guiricema,0.004195191721,0.1506233294,0.01453106466,,,,,
Gurinhatã,0.1014279598,0.0617551848,0.1075269345,,,,,
Heliodora,0.003779352542,0,0,,,,,
Iapu,0.01015677996,0.006713533419,0.007902171073,,,,,
Ibertioga,0.00475823061,0,0,,,,,
Ibiá,0.003959672186,0.002931727548,0.05830703161,,,,,
Ibiaí,0.001475677088,0.004380418023,0.2335519658,,,,,
Ibiracatu,0.2806742728,0.05969193554,0.1560280121,,,,,
Ibiraci,0.00553225575,0.005421855968,0.05466997212,,,,,
Ibirité,0.005149536505,0.004630657529,0.3694761776,,,,,
Ibitiúra de Minas,0,0,0,,,,,
Ibituruna,0,0,0,,,,,
Icaraí de Minas,0.001054931252,0.03938573561,0.04337116775,,,,,
Igarapé,0.01480338412,0.002087782547,0.6745120023,,,,,
Igaratinga,0.0119256298,0.01977137432,0.09736279454,,,,,
Iguatama,0.002994287425,0.03002138076,0.6386467931,,,,,
Ijaci,0.007729211414,0.001898876253,0.01512477015,,,,,
Ilicínea,0.001004638018,0.0009923713751,0.005982441528,,,,,
Imbé de Minas,0.0125843485,0.01066829895,0.01250829532,,,,,
Inconfidentes,0.008413690064,0.00166703671,0.01849196351,,,,,
Indaiabira,0.003259246902,0.001630236783,0.08163327891,,,,,
Indianópolis,0,0.003605166219,0.1814224153,,,,,
Ingaí,0.004438071242,0,0,,,,,
Inhapim,0.0577893793,0.003462873167,0.005575188998,,,,,
Inhaúma,0.01195138975,0.005897801695,0.3131661554,,,,,
Inimutaba,0.0099494737,0.001637596768,0.1659210592,,,,,
Ipaba,0.1072681083,0.1101495426,0.03193375032,,,,,
Ipanema,0.0006305054225,0.0006219187727,0.03919437599,,,,,
Ipatinga,0.06153683857,0.0833113556,0.02187265017,,,,,
Ipiaçu,0.03160745763,0.02290182147,0.3316090523,,,,,
Ipuiúna,0,0.001211944275,0.004887030356,,,,,
Iraí de Minas,0.001781116485,0.003520526386,0.0794927498,,,,,
Itabira,0.007821211233,0.002878980985,0.006484147205,,,,,
Itabirinha de Mantena,0.02158315741,0,0.007502278529,,,,,
Itabirito,0.002957487497,0.001207037618,0.0162655679,,,,,
Itacambira,0,0,0.02291531478,,,,,
Itacarambi,0.00200191605,0.007315825563,0.2062243397,,,,,
Itaguara,0.008381796793,0.0009199981845,0.3039404136,,,,,
Itaipé,0.0009751980756,0.0009641580974,0.0009678380901,,,,,
Itajubá,0.0007666651538,0.001264690838,0.005218229703,,,,,
Itamarandiba,0.004655190814,0.00070778527,0.01989526741,,,,,
Itamarati de Minas,0,0,0,,,,,
Itambacuri,0.2605716991,0.01453106466,0.1432130507,,,,,
Itambé do Mato Dentro,0,0,0,,,,,
Itamogi,0,0,0.008394063436,,,,,
Itamonte,0.003242073602,0,0.00238340863,,,,,
Itanhandu,0.002436155193,0.0008022384169,0.0024153019,,,,,
Itanhomi,0.008946062346,0.001979836093,0,,,,,
Itaobim,0.002844634387,0,0.0005814388526,,,,,
Itapagipe,0.09458808001,0.01223352253,0.1137154556,,,,,
Itapecerica,0.01054195253,0.0171610328,0.05016443434,,,,,
Itapeva,0.001300264101,0.001275730816,0.001267144166,,,,,
Itatiaiuçu,0.00113834442,0.00335124672,0.6379500478,,,,,
Itaú de Minas,0.009260088393,0.01296706774,0.1294535579,,,,,
Itaúna,0.002146662431,0.002382181966,0.06732301382,,,,,
Itaverava,0,0.00215524908,0.01121293787,,,,,
Itinga,0.0480594785,0,0.004921376955,,,,,
Itueta,0.002015409356,0.002004369378,0.3067163547,,,,,
Ituiutaba,0.0261156818,0.07886224438,0.193429005,,,,,
Itumirim,0.001966342786,0,0.002027675999,,,,,
Iturama,0.0100868601,0.01689362,0.09889857817,,,,,
Itutinga,0,0.003124313835,0.009661207602,,,,,
Jaboticatubas,0.01030152634,0.004392684665,0.3490105113,,,,,
Jacinto,0.03326713435,0.05468714542,0.0109442984,,,,,
Jacuí,0,0,0.003194233697,,,,,
Jacutinga,0.0004918923627,0,0.004298231518,,,,,
Jaguaraçu,0.04302770176,0.05049563369,0.007853104503,,,,,
Jaíba,0.0009935980393,0.002909647592,0.009899180466,,,,,
Jampruca,0.0297453813,0.002265648862,0,,,,,
Janaúba,0.03357134709,0.2595314879,0.1497511712,,,,,
Januária,0.002515888369,0.003576952941,0.1730406185,,,,,
Japaraíba,0,0.04840539781,0.2615971904,,,,,
Japonvar,0.1121207921,0.01412749212,0.6164858768,,,,,
